Lineales,Interacciones,MAE
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8783845250332157
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['visitas_medico', 'I_pedad_medad']",0.8783845250332161
"['edad_madre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8783845250332161
"['edad_madre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['visitas_medico', 'I_pedad_medad']",0.8783845250332164
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8786298774768898
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8786298774768898
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8786298774768898
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8786298774768898
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8788331855781705
"['madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8788331855781705
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8788331855781705
"['madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'estado_civil', 'raza_madre', 'I_pedad_medad']","['edad_padre', 'visitas_medico']",0.8788331855781706
"['edad_padre', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['madurez', 'visitas_medico']",0.8790116010020715
"['edad_padre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['madurez', 'visitas_medico']",0.8790116010020715
"['edad_padre', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['madurez', 'visitas_medico']",0.8790116010020715
"['edad_padre', 'madurez', 'visitas_medico', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['madurez', 'visitas_medico']",0.8790116010020715
"['edad_madre', 'madurez', 'aumento_peso_madre', 'sexo', 'madre_fumadora', 'raza_madre']","['edad_padre', 'visitas_medico']",0.8790386247330504
